Scyliorhinus_canicula	Latimeria_chalumnae	Hemiscyllium_ocellatum	Carcharodon_carcharias	Amblyraja_radiata	
7.5094e-07	6.2555e-09	1.5109e-07	1.9903e-07	0.066668	
7.1622e-07	6.5783e-09	1.403e-07	2.0844e-07	0.066612	
6.6835e-07	8.5547e-09	1.2471e-07	2.1377e-07	0.066246	
6.7298e-07	9.3231e-09	1.2362e-07	1.9651e-07	0.065345	
6.9368e-07	1.1015e-08	1.2566e-07	1.8345e-07	0.065119	
7.4124e-07	1.167e-08	1.1782e-07	1.7691e-07	0.064555	
8.1273e-07	1.0517e-08	1.1366e-07	1.7386e-07	0.062859	
8.6236e-07	1.0933e-08	1.2824e-07	1.6494e-07	0.059639	
9.0022e-07	1.0598e-08	1.3899e-07	1.5256e-07	0.055882	
9.5292e-07	1.0783e-08	1.5218e-07	1.4214e-07	0.05362	
9.9714e-07	1.0447e-08	1.6236e-07	1.2902e-07	0.05102	
1.0554e-06	1.0564e-08	1.7477e-07	1.1732e-07	0.040347	
1.1298e-06	1.1114e-08	1.897e-07	1.0688e-07	0.033449	
1.2224e-06	1.2133e-08	2.0743e-07	9.7475e-08	0.028963	
1.1552e-06	1.3664e-08	2.2813e-07	8.8999e-08	0.025985	
1.0718e-06	1.468e-08	2.456e-07	1.2954e-07	0.02268	
1.005e-06	1.6307e-08	2.6648e-07	1.743e-07	0.020526	
9.5201e-07	1.4474e-08	2.9186e-07	2.2369e-07	0.019134	
8.916e-07	1.2108e-08	3.1407e-07	2.6982e-07	0.017587	
8.4418e-07	1.0376e-08	3.4043e-07	3.2122e-07	0.016591	
8.0769e-07	9.1104e-09	3.7118e-07	3.7828e-07	0.015953	
7.8649e-07	8.3288e-09	4.0957e-07	3.666e-07	0.013074	
7.7486e-07	7.8854e-09	4.5422e-07	3.5769e-07	0.011185	
7.7195e-07	7.7224e-09	4.2571e-07	3.5124e-07	0.0099292	
7.627e-07	7.1347e-09	3.9379e-07	3.4211e-07	0.0085366	
7.6251e-07	6.8295e-09	3.6687e-07	3.3551e-07	0.0076288	
7.7083e-07	6.7589e-09	3.4414e-07	3.3116e-07	0.0070331	
7.8788e-07	6.9184e-09	3.2518e-07	3.2901e-07	0.0066535	
7.9852e-07	6.6632e-09	3.031e-07	3.2423e-07	0.0062216	
8.182e-07	6.6372e-09	2.8452e-07	3.2163e-07	0.0059568	
8.3135e-07	6.195e-09	2.6286e-07	3.1637e-07	0.005649	
8.3898e-07	5.3266e-09	2.3804e-07	3.0837e-07	0.0052929	
8.5624e-07	4.7387e-09	2.167e-07	3.0264e-07	0.0050937	
8.6669e-07	3.7314e-09	1.9223e-07	2.9418e-07	0.004855	
8.8794e-07	2.9398e-09	1.7119e-07	2.8818e-07	0.0047378	
8.9847e-07	2.7539e-09	1.7806e-07	2.7784e-07	0.0043868	
9.2001e-07	2.6458e-09	1.8712e-07	2.6993e-07	0.0041811	
9.5463e-07	2.6424e-09	1.9904e-07	2.6481e-07	0.0040898	
9.8159e-07	3.4393e-09	2.0787e-07	2.5687e-07	0.0039573	
1.0221e-06	4.5485e-09	2.1966e-07	2.5142e-07	0.0039216	
1.0545e-06	5.0135e-09	2.2827e-07	2.431e-07	0.0038539	
9.3411e-07	5.8432e-09	2.3984e-07	2.3732e-07	0.0038708	
8.0342e-07	6.2315e-09	2.4833e-07	2.2882e-07	0.0038597	
6.947e-07	6.9082e-09	2.5986e-07	2.2237e-07	0.0039334	
6.034e-07	7.899e-09	2.7445e-07	2.1771e-07	0.0041022	
5.0351e-07	8.4269e-09	2.8587e-07	2.1039e-07	0.0042365	
4.2005e-07	9.353e-09	3.0091e-07	2.05e-07	0.004496	
3.2794e-07	1.258e-08	3.1249e-07	1.9686e-07	0.004696	
2.2649e-07	1.5146e-08	3.2059e-07	1.8591e-07	0.0048534	
1.4268e-07	1.8857e-08	3.3319e-07	1.773e-07	0.0051707	
7.478e-08	1.9132e-08	3.5162e-07	1.7134e-07	0.0057885	
7.247e-08	2.2494e-08	3.6358e-07	1.5979e-07	0.0062286	
7.3147e-08	2.2768e-08	3.8326e-07	1.5165e-07	0.0071933	
6.7841e-08	2.6122e-08	3.9689e-07	1.3987e-07	0.007842	
6.5213e-08	2.6266e-08	4.1843e-07	1.3112e-07	0.0091962	
5.6513e-08	3.0175e-08	4.3379e-07	1.1868e-07	0.010164	
5.0257e-08	3.0649e-08	4.5773e-07	1.0906e-07	0.012186	
3.8064e-08	2.9553e-08	4.7532e-07	9.5866e-08	0.013685	
2.8152e-08	3.0246e-08	5.0272e-07	8.543e-08	0.016971	
4.1447e-08	3.5194e-08	5.2024e-07	6.9045e-08	0.019259	
5.8002e-08	3.7442e-08	5.6147e-07	5.5571e-08	0.020488	
6.8411e-08	3.8432e-08	5.9553e-07	3.8798e-08	0.021408	
6.7536e-08	4.3608e-08	6.1341e-07	3.9778e-08	0.021927	
6.9298e-08	4.4868e-08	6.4217e-07	4.1371e-08	0.023374	
7.4388e-08	4.2576e-08	6.8621e-07	4.3883e-08	0.02661	
6.8422e-08	3.824e-08	7.1237e-07	6.9793e-08	0.04338	
6.5543e-08	3.648e-08	7.5167e-07	1.0066e-07	0.049989	
8.7066e-08	3.7435e-08	7.6104e-07	1.1558e-07	0.069175	
9.8397e-08	3.6842e-08	8.7462e-07	1.2322e-07	0.082453	
1.1462e-07	3.3637e-08	1.0222e-06	1.3364e-07	0.089151	
1.2396e-07	2.8976e-08	1.1543e-06	1.4056e-07	0.094296	
1.4108e-07	2.8127e-08	1.2216e-06	1.5212e-07	0.097315	
1.5099e-07	2.6027e-08	1.2786e-06	1.6006e-07	0.11822	
1.5383e-07	2.2717e-08	1.3261e-06	1.6442e-07	0.13439	
1.4964e-07	2.2884e-08	1.3644e-06	1.6524e-07	0.14654	
1.5099e-07	2.4478e-08	1.4204e-06	1.6904e-07	0.17064	
1.4509e-07	2.4959e-08	1.4662e-06	1.6914e-07	0.18899	
1.4468e-07	2.7111e-08	1.5318e-06	1.7229e-07	0.19606	
1.3628e-07	3.3665e-08	1.7857e-06	1.7103e-07	0.20028	
1.0939e-07	3.8027e-08	1.9687e-06	2.0383e-07	0.20315	
9.6912e-08	4.6289e-08	2.021e-06	2.0575e-07	0.20995	
8.9258e-08	5.0354e-08	2.1005e-06	2.1163e-07	0.21322	
8.5744e-08	5.1239e-08	2.2129e-06	2.2172e-07	0.21464	
8.7503e-08	4.9226e-08	2.3727e-06	2.3751e-07	0.21496	
9.7359e-08	5.0209e-08	2.4126e-06	2.6449e-07	0.21688	
1.1925e-07	4.7963e-08	2.4989e-06	2.5943e-07	0.2228	
1.5698e-07	2.8439e-08	2.7812e-06	2.1263e-07	0.24057	
1.6723e-07	2.6371e-08	2.8788e-06	2.0254e-07	0.24223	
1.8429e-07	2.5905e-08	3.0103e-06	1.9617e-07	0.24592	
1.9343e-07	2.8924e-08	3.1241e-06	1.8584e-07	0.24855	
1.9477e-07	3.0565e-08	3.2213e-06	1.7148e-07	0.25066	
2.0354e-07	3.4349e-08	3.3552e-06	1.6101e-07	0.25537	
2.2474e-07	3.6395e-08	3.4312e-06	1.564e-07	0.25853	
2.3778e-07	3.7216e-08	3.4935e-06	1.4822e-07	0.26089	
2.4278e-07	4.3132e-08	3.5424e-06	1.3642e-07	0.26254	
2.5622e-07	4.5009e-08	3.6212e-06	1.2766e-07	0.26276	
2.7918e-07	4.3553e-08	3.7346e-06	1.216e-07	0.2617	
3.1343e-07	3.7714e-08	3.8877e-06	1.1798e-07	0.26176	
3.3774e-07	3.6861e-08	4.0202e-06	1.1091e-07	0.26134	
3.5245e-07	3.4503e-08	4.1335e-06	1.0033e-07	0.26471	
3.7957e-07	3.4242e-08	4.2899e-06	9.2333e-08	0.26572	
4.2154e-07	3.0866e-08	4.501e-06	8.66e-08	0.26548	
4.8207e-07	2.4504e-08	4.7822e-06	8.2882e-08	0.26425	
5.6492e-07	2.0756e-08	5.1422e-06	8.0829e-08	0.26413	
6.8213e-07	1.9375e-08	5.6238e-06	8.1195e-08	0.26255	
7.8091e-07	1.6684e-08	6.054e-06	7.8433e-08	0.264	
8.6269e-07	1.2631e-08	6.4396e-06	7.2537e-08	0.26509	
9.7909e-07	1.0383e-08	6.54e-06	6.8511e-08	0.26802	
1.0742e-06	1.0198e-08	6.6143e-06	6.115e-08	0.26983	
1.0646e-06	7.9759e-09	6.7394e-06	5.6317e-08	0.27428	
1.0424e-06	7.5976e-09	6.8379e-06	4.8149e-08	0.27712	
1.0421e-06	8.0289e-09	6.9843e-06	4.1345e-08	0.27786	
1.0211e-06	7.7481e-09	7.1062e-06	5.5758e-08	0.27818	
1.0205e-06	8.2218e-09	7.2777e-06	7.2562e-08	0.27701	
1.0066e-06	7.8473e-09	7.4237e-06	8.5826e-08	0.27897	
9.7979e-07	6.6505e-09	7.5475e-06	9.5761e-08	0.29286	
9.7728e-07	6.2602e-09	7.726e-06	1.0858e-07	0.29824	
9.6173e-07	5.1527e-09	7.8803e-06	1.1786e-07	0.30228	
9.3296e-07	3.275e-09	8.0117e-06	1.2366e-07	0.30529	
8.7541e-07	2.1766e-09	8.2445e-06	1.2241e-07	0.31227	
8.398e-07	1.6077e-09	8.5494e-06	1.2346e-07	0.32635	
7.9132e-07	1.7113e-09	8.8219e-06	1.2122e-07	0.33694	
7.638e-07	2.1238e-09	9.1803e-06	1.2147e-07	0.35898	
7.2357e-07	2.0196e-09	9.5004e-06	1.1832e-07	0.37578	
6.701e-07	1.3934e-09	9.785e-06	1.1176e-07	0.3886	
6.3865e-07	1.0548e-09	9.8291e-06	1.0813e-07	0.41936	
5.9416e-07	1.1606e-09	9.8477e-06	1.0095e-07	0.44095	
5.6683e-07	1.3712e-09	9.9096e-06	9.59e-08	0.48368	
5.2779e-07	1.0313e-09	9.9504e-06	8.7536e-08	0.51582	
5.0525e-07	8.1222e-10	1.0038e-05	8.133e-08	0.5816	
4.9736e-07	6.6335e-10	1.0187e-05	7.7046e-08	0.71738	
5.0515e-07	6.4237e-10	1.0172e-05	7.504e-08	0.78334	
5.2844e-07	6.6313e-10	1.0205e-05	7.5198e-08	0.80939	
5.674e-07	6.9138e-10	1.0284e-05	7.6813e-08	0.86127	
5.9504e-07	9.9511e-10	1.0339e-05	7.5423e-08	0.89729	
6.3994e-07	1.4311e-09	1.0442e-05	7.5495e-08	0.91125	
7.0555e-07	2.0743e-09	1.0597e-05	7.7025e-08	0.93908	
8.0143e-07	3.5048e-09	1.0579e-05	8.0705e-08	0.95294	
8.8075e-07	4.2696e-09	1.054e-05	8.1291e-08	0.9635	
9.4459e-07	4.4067e-09	1.0479e-05	7.879e-08	0.97155	
1.0501e-06	3.8285e-09	1.0336e-05	7.9594e-08	0.97715	
1.0466e-06	3.7669e-09	1.0254e-05	8.2962e-08	0.97934	
1.0635e-06	4.1298e-09	1.0217e-05	8.8009e-08	0.98012	
1.0671e-06	3.889e-09	1.0159e-05	8.9906e-08	0.98069	
1.0575e-06	3.0337e-09	1.0081e-05	8.8671e-08	0.98109	
1.0694e-06	2.605e-09	1.0049e-05	8.9271e-08	0.98206	
1.0679e-06	3.0507e-09	9.9957e-06	8.6711e-08	0.98274	
1.0535e-06	2.8371e-09	9.921e-06	8.1053e-08	0.98322	
1.0259e-06	2.0147e-09	9.8245e-06	7.2261e-08	0.98675	
9.8371e-07	1.9516e-09	9.6858e-06	5.9982e-08	0.98916	
9.6693e-07	2.3559e-09	9.317e-06	5.0321e-08	0.99036	
9.3673e-07	2.2278e-09	8.9047e-06	3.7508e-08	0.99127	
8.8019e-07	1.4322e-09	8.4165e-06	4.3335e-08	0.99192	
8.4687e-07	9.3585e-10	8.0417e-06	5.0299e-08	0.99211	
7.9293e-07	7.6232e-10	7.9354e-06	5.3184e-08	0.99212	
7.6097e-07	7.3703e-10	7.8757e-06	5.7261e-08	0.99187	
7.4805e-07	7.5282e-10	7.857e-06	6.2681e-08	0.99186	
7.2291e-07	1.1357e-09	7.819e-06	6.5111e-08	0.99175	
7.1612e-07	1.7505e-09	7.5647e-06	6.9119e-08	0.99131	
7.0078e-07	1.8751e-09	7.2797e-06	7.0104e-08	0.99071	
6.7404e-07	1.5153e-09	6.9622e-06	6.8168e-08	0.98992	
6.6439e-07	1.3836e-09	6.0394e-06	6.7677e-08	0.98793	
6.7043e-07	1.4099e-09	5.3107e-06	6.8477e-08	0.9828	
6.9257e-07	1.5747e-09	4.7339e-06	7.0588e-08	0.98023	
7.034e-07	2.3544e-09	4.0909e-06	6.9751e-08	0.97652	
7.3234e-07	2.263e-09	3.5992e-06	7.0434e-08	0.96903	
7.8151e-07	2.4472e-09	3.2146e-06	7.2602e-08	0.96539	
8.6281e-07	2.0619e-09	2.6719e-06	7.7625e-08	0.96029	
9.7675e-07	1.9393e-09	2.246e-06	8.4487e-08	0.95783	
1.1331e-06	2.0501e-09	1.9121e-06	9.3481e-08	0.95669	
1.2677e-06	2.9882e-09	1.543e-06	9.9261e-08	0.9551	
1.2928e-06	3.0601e-09	1.3282e-06	1.1387e-07	0.95215	
1.3515e-06	3.5205e-09	1.1633e-06	1.0489e-07	0.9508	
1.3051e-06	2.9107e-09	1.0472e-06	1.0018e-07	0.9477	
1.2848e-06	2.692e-09	9.5835e-07	9.8261e-08	0.93972	
1.2877e-06	3.0034e-09	8.9103e-07	9.8254e-08	0.92119	
1.2773e-06	2.7865e-09	8.1384e-07	9.5146e-08	0.89735	
1.2891e-06	2.8567e-09	7.5462e-07	9.3829e-08	0.8852	
1.3255e-06	3.2594e-09	7.1104e-07	9.4415e-08	0.8792	
1.3479e-06	4.9163e-09	6.5934e-07	9.1932e-08	0.87117	
1.3965e-06	5.0039e-09	6.2172e-07	9.1347e-08	0.86734	
1.4752e-06	5.6365e-09	5.9594e-07	9.2636e-08	0.86555	
1.4372e-06	7.0197e-09	5.8244e-07	9.6933e-08	0.86046	
1.3834e-06	7.6464e-09	5.6246e-07	9.8016e-08	0.85388	
1.3131e-06	7.5445e-09	5.358e-07	9.5885e-08	0.84529	
1.2873e-06	8.5223e-09	4.4166e-07	9.8171e-08	0.84177	
1.2471e-06	1.2189e-08	3.3583e-07	9.7313e-08	0.83702	
1.2352e-06	1.3516e-08	2.5666e-07	9.9435e-08	0.82625	
1.2964e-06	1.3483e-08	2.2065e-07	8.5281e-08	0.80784	
1.388e-06	1.446e-08	1.9265e-07	7.3591e-08	0.79858	
1.4615e-06	1.4537e-08	1.5896e-07	5.85e-08	0.78642	
1.5691e-06	1.5679e-08	1.3229e-07	4.5564e-08	0.78033	
1.6429e-06	1.5871e-08	9.9375e-08	5.4179e-08	0.77223	
1.7546e-06	1.7301e-08	7.312e-08	6.448e-08	0.76838	
1.7584e-06	1.6741e-08	5.985e-08	8.456e-08	0.76724	
1.7419e-06	1.4491e-08	6.0368e-08	9.9866e-08	0.76806	
1.7039e-06	1.0632e-08	8.4246e-08	1.1056e-07	0.76837	
1.6953e-06	8.4145e-09	1.1409e-07	1.2507e-07	0.7673	
1.6703e-06	5.1481e-09	1.388e-07	1.3585e-07	0.76569	
1.678e-06	3.0699e-09	1.7037e-07	1.2085e-07	0.76529	
1.6702e-06	2.313e-09	1.9612e-07	1.0205e-07	0.76432	
1.6895e-06	1.9807e-09	2.2948e-07	8.6548e-08	0.76452	
1.7397e-06	1.9617e-09	2.7398e-07	7.405e-08	0.76594	
1.6679e-06	2.3792e-09	3.3384e-07	6.4918e-08	0.76605	
1.5771e-06	2.2636e-09	3.8552e-07	5.2549e-08	0.76579	
1.5203e-06	2.427e-09	4.5241e-07	4.2089e-08	0.76657	
1.4241e-06	3.4798e-09	5.0282e-07	4.963e-08	0.76681	
1.3076e-06	3.9085e-09	5.4532e-07	5.4261e-08	0.76668	
1.1693e-06	3.7337e-09	5.8028e-07	5.6012e-08	0.76615	
1.0776e-06	2.6266e-09	5.8672e-07	5.9688e-08	0.76482	
1.0197e-06	1.9786e-09	6.0308e-07	6.4808e-08	0.76465	
9.8662e-07	1.6523e-09	6.3039e-07	7.1536e-08	0.76291	
9.399e-07	1.8498e-09	6.5011e-07	7.5231e-08	0.7636	
9.1586e-07	2.3341e-09	6.817e-07	8.0679e-08	0.76295	
8.7826e-07	2.2225e-09	7.0546e-07	8.2966e-08	0.76185	
8.6541e-07	1.4004e-09	6.8775e-07	8.7942e-08	0.75973	
8.7212e-07	8.7301e-10	6.8098e-07	9.5014e-08	0.75393	
8.6622e-07	7.8768e-10	6.672e-07	9.8791e-08	0.74586	
8.4767e-07	1.0585e-09	6.4639e-07	9.9306e-08	0.73483	
8.4853e-07	1.4672e-09	6.3625e-07	1.0194e-07	0.72958	
8.375e-07	1.3978e-09	6.1966e-07	1.0141e-07	0.72326	
8.0504e-07	1.5815e-09	6.3024e-07	9.5284e-08	0.72112	
7.9449e-07	2.1531e-09	6.0018e-07	9.1963e-08	0.71639	
8.0645e-07	3.4155e-09	5.119e-07	9.1582e-08	0.70663	
8.37e-07	3.4888e-09	4.4334e-07	9.3011e-08	0.68415	
8.8848e-07	3.9793e-09	3.9001e-07	9.6288e-08	0.62589	
9.6496e-07	5.2122e-09	3.4894e-07	1.0154e-07	0.59707	
1.0228e-06	5.5748e-09	3.6028e-07	1.0289e-07	0.59152	
1.0665e-06	5.3053e-09	3.6642e-07	1.0107e-07	0.58426	
1.0959e-06	4.3566e-09	3.6717e-07	9.5972e-08	0.57465	
1.1517e-06	4.0779e-09	3.7747e-07	9.323e-08	0.55118	
1.1069e-06	4.3277e-09	3.973e-07	9.3418e-08	0.49267	
1.0848e-06	5.2821e-09	4.2574e-07	9.5413e-08	0.46351	
1.0866e-06	7.2672e-09	4.1641e-07	9.9912e-08	0.45124	
1.0763e-06	8.4608e-09	4.0183e-07	1.0136e-07	0.4368	
1.0546e-06	8.9893e-09	3.823e-07	9.9895e-08	0.41885	
1.0216e-06	8.8769e-09	3.5868e-07	9.5538e-08	0.39656	
1.006e-06	9.3543e-09	3.4141e-07	9.2549e-08	0.38421	
9.7952e-07	9.1908e-09	3.1944e-07	8.6719e-08	0.369	
9.4206e-07	8.3768e-09	2.9264e-07	7.8023e-08	0.35014	
9.2233e-07	8.1912e-09	2.7229e-07	7.0779e-08	0.34002	
9.193e-07	8.6007e-09	2.5763e-07	6.4813e-08	0.3346	
9.3295e-07	9.7353e-09	2.4817e-07	5.9972e-08	0.31801	
8.4208e-07	8.9183e-09	2.4515e-07	5.7192e-08	0.30996	
7.7656e-07	8.8271e-09	2.4702e-07	5.5387e-08	0.30577	
6.8988e-07	1.0238e-08	2.8509e-07	4.9819e-08	0.29824	
6.3575e-07	1.0372e-08	2.9668e-07	4.6405e-08	0.28595	
6.0295e-07	9.2559e-09	2.7846e-07	4.4234e-08	0.26454	
5.9045e-07	6.6483e-09	2.3527e-07	4.3547e-08	0.22989	
5.9382e-07	5.275e-09	2.0321e-07	4.3731e-08	0.21372	
5.8262e-07	5.0919e-09	1.9998e-07	4.0418e-08	0.18478	
5.8597e-07	5.4693e-09	2.0133e-07	3.7787e-08	0.11068	
6.0415e-07	4.3546e-09	2.0729e-07	3.5733e-08	0.074714	
6.3855e-07	3.7878e-09	2.1815e-07	3.4173e-08	0.056696	
6.6156e-07	4.3716e-09	2.2444e-07	3.0018e-08	0.03264	
7.0648e-07	3.7023e-09	2.3675e-07	2.6505e-08	0.02286	
8.1152e-07	1.9428e-09	2.2898e-07	2.6787e-08	0.020079	
8.9978e-07	1.3228e-09	2.1649e-07	2.4593e-08	0.016298	
1.0213e-06	8.9348e-10	2.0912e-07	2.2535e-08	0.014416	
1.1893e-06	6.201e-10	2.0746e-07	2.067e-08	0.013556	
1.3065e-06	6.1385e-10	1.9816e-07	3.2108e-08	0.012285	
1.4049e-06	9.1798e-10	1.8436e-07	4.0718e-08	0.010575	
1.5443e-06	1.3315e-09	1.7553e-07	5.0651e-08	0.0097568	
1.6618e-06	1.2804e-09	1.6227e-07	5.761e-08	0.0086666	
1.8269e-06	1.3612e-09	1.5358e-07	6.6098e-08	0.0081578	
1.9752e-06	9.9165e-10	1.4073e-07	7.1517e-08	0.007477	
2.1787e-06	7.1893e-10	1.3278e-07	7.8513e-08	0.0071705	
2.3545e-06	7.9396e-10	1.208e-07	8.247e-08	0.0067276	
2.4734e-06	9.5003e-10	1.164e-07	8.037e-08	0.0065896	
2.6459e-06	1.1991e-09	1.1521e-07	7.9974e-08	0.0066432	
3.8846e-06	9.9118e-10	1.1009e-07	7.5938e-08	0.0066177	
4.9924e-06	1.2085e-09	1.0114e-07	6.8856e-08	0.0065035	
6.5435e-06	1.737e-09	9.5663e-08	6.362e-08	0.0060615	
7.8644e-06	1.6642e-09	1.1608e-07	5.4558e-08	0.0054084	
9.6445e-06	1.8005e-09	1.1072e-07	4.7132e-08	0.0051281	
1.0604e-05	1.1999e-09	1.2106e-07	4.9971e-08	0.0045752	
1.1489e-05	1.1706e-09	1.2734e-07	4.9935e-08	0.0038156	
1.1742e-05	1.2675e-09	1.3761e-07	5.1317e-08	0.0034669	
1.1666e-05	1.5148e-09	1.5252e-07	5.4193e-08	0.0033346	
1.205e-05	2.2964e-09	1.569e-07	5.0503e-08	0.0030543	
1.2381e-05	2.5141e-09	1.5719e-07	4.3994e-08	0.0031852	
1.2662e-05	2.196e-09	1.5344e-07	3.463e-08	0.0032725	
1.3067e-05	2.1471e-09	1.5342e-07	2.6308e-08	0.0031677	
1.3628e-05	2.3329e-09	1.5711e-07	1.87e-08	0.0031898	
1.4067e-05	3.4823e-09	1.5545e-07	2.4495e-08	0.0031479	
1.4682e-05	3.4097e-09	1.5797e-07	3.0844e-08	0.0032706	
1.5217e-05	2.749e-09	2.2521e-07	3.4446e-08	0.0033289	
1.5969e-05	2.5555e-09	2.4202e-07	3.8949e-08	0.0032094	
1.6967e-05	2.6313e-09	2.6492e-07	4.4146e-08	0.0032133	
1.7872e-05	2.2186e-09	2.8322e-07	4.6757e-08	0.0031719	
1.9043e-05	2.0389e-09	3.0768e-07	4.9984e-08	0.0028479	
2.0103e-05	1.3705e-09	3.2723e-07	5.0561e-08	0.0024304	
2.1485e-05	8.8254e-10	3.5374e-07	5.1883e-08	0.0022211	
2.2737e-05	8.0898e-10	3.7495e-07	5.0532e-08	0.0019298	
2.3869e-05	1.0862e-09	3.9098e-07	4.6492e-08	0.0015327	
2.5331e-05	1.4372e-09	4.1385e-07	4.3108e-08	0.0013252	
2.7361e-05	1.1619e-09	4.4828e-07	4.0898e-08	0.0009389	
2.9985e-05	9.653e-10	4.925e-07	3.9145e-08	0.0007335	
3.3428e-05	8.2845e-10	5.4922e-07	3.7902e-08	0.00063174	
3.7934e-05	7.1877e-10	5.4434e-07	3.7122e-08	0.00059151	
4.1981e-05	9.2656e-10	5.3357e-07	3.3734e-08	0.00051884	
4.7347e-05	1.2141e-09	5.3123e-07	3.085e-08	0.00049858	
5.0069e-05	1.7878e-09	4.9478e-07	3.4767e-08	0.00054485	
5.3728e-05	1.3935e-09	4.6926e-07	3.9375e-08	0.00067059	
5.6976e-05	1.5071e-09	4.3621e-07	4.1233e-08	0.00074401	
6.1285e-05	1.7997e-09	4.1274e-07	4.3757e-08	0.00072036	
6.6997e-05	2.4741e-09	3.9754e-07	4.7044e-08	0.00075429	
7.2119e-05	2.6207e-09	3.7672e-07	4.7613e-08	0.0007589	
7.4037e-05	1.7965e-09	3.6948e-07	5.1208e-08	0.00068317	
7.6619e-05	1.371e-09	3.7065e-07	5.5874e-08	0.00067296	
7.8922e-05	1.5352e-09	3.6659e-07	5.7712e-08	0.00063153	
8.2003e-05	2.0737e-09	3.6952e-07	6.0662e-08	0.00048107	
8.4734e-05	3.7206e-09	3.6696e-07	6.0682e-08	0.00026452	
8.8427e-05	3.9481e-09	3.716e-07	6.1978e-08	0.00016382	
9.3402e-05	2.8603e-09	3.8373e-07	6.4607e-08	0.00011918	
9.78e-05	2.5319e-09	3.8862e-07	6.4181e-08	0.00012091	
0.00010364	2.4891e-09	4.0072e-07	6.4968e-08	0.00014401	
0.00011139	1.3895e-09	4.2104e-07	6.7015e-08	0.00012785	
0.00011828	1.0589e-09	4.3518e-07	6.6072e-08	9.1632e-05	
0.00012741	8.3299e-10	4.5775e-07	6.6386e-08	7.7759e-05	
0.00013559	9.2203e-10	4.7373e-07	6.3778e-08	4.4949e-05	
0.00014669	1.1622e-09	4.9956e-07	6.2945e-08	3.0504e-05	
0.00015664	9.3835e-10	5.1906e-07	5.9233e-08	5.106e-05	
0.00017003	9.108e-10	5.4955e-07	5.6846e-08	4.4691e-05	
0.00017464	9.6063e-10	5.925e-07	5.5889e-08	4.929e-05	
0.0001761	1.1011e-09	6.5089e-07	5.6527e-08	6.7478e-05	
0.00017735	1.7985e-09	7.0009e-07	5.4274e-08	7.0851e-05	
0.0001773	1.7786e-09	7.7273e-07	5.4336e-08	5.1784e-05	
0.00017756	1.9499e-09	8.6649e-07	5.5381e-08	4.596e-05	
0.00017773	1.611e-09	9.4844e-07	5.3515e-08	3.0142e-05	
0.00017665	1.5174e-09	1.062e-06	5.3813e-08	2.5139e-05	
0.00017596	1.5891e-09	1.2071e-06	5.5084e-08	2.7837e-05	
0.00017511	2.2236e-09	1.3336e-06	5.3467e-08	1.7766e-05	
0.00017409	2.2829e-09	1.4446e-06	4.8968e-08	3.2293e-05	
0.00017347	2.6499e-09	1.5896e-06	4.5558e-08	6.4075e-05	
0.00017324	3.4525e-09	1.7796e-06	4.3212e-08	6.2099e-05	
0.00017288	3.6521e-09	1.9488e-06	3.8086e-08	4.7167e-05	
0.00017284	4.3125e-09	2.1676e-06	3.3796e-08	4.4657e-05	
0.00017354	4.0016e-09	2.2748e-06	3.4035e-08	6.9318e-05	
0.00017465	4.1963e-09	2.4294e-06	3.4751e-08	6.1823e-05	
0.00017563	3.7316e-09	2.5638e-06	3.2732e-08	0.00011057	
0.00017569	4.0969e-09	2.6224e-06	3.6054e-08	0.00012711	
0.00017608	4.9953e-09	2.7089e-06	4.0078e-08	0.00017341	
0.00017634	5.2597e-09	2.7821e-06	4.1447e-08	0.00019963	
0.00017699	6.3725e-09	2.8931e-06	4.4059e-08	0.00018027	
0.00017811	5.9106e-09	3.0441e-06	4.7677e-08	0.00019038	
0.0001825	4.5309e-09	3.1517e-06	4.3769e-08	0.00018011	
0.00018908	3.8665e-09	3.1397e-06	4.1797e-08	0.00020017	
0.00019794	3.7267e-09	3.1527e-06	4.0613e-08	0.00016973	
0.00020994	4.0512e-09	3.0381e-06	4.0274e-08	0.00016901	
0.00022584	3.0488e-09	2.9556e-06	4.0536e-08	0.00019553	
0.00023131	2.4783e-09	2.9007e-06	4.1707e-08	0.00026124	
0.00023858	2.2118e-09	2.8701e-06	4.3534e-08	0.00039847	
0.00024508	2.6295e-09	2.8262e-06	4.267e-08	0.00048357	
0.00025384	3.4387e-09	2.8066e-06	4.2589e-08	0.0006724	
0.00026561	4.9038e-09	2.8104e-06	4.3296e-08	0.00072306	
0.00027617	5.6086e-09	2.8027e-06	4.1325e-08	0.0011834	
0.00028439	5.4569e-09	2.7774e-06	6.172e-08	0.0015105	
0.0002872	5.9326e-09	2.7791e-06	8.762e-08	0.0016126	
0.00029102	7.1005e-09	2.8029e-06	1.1833e-07	0.0015755	
0.00029438	7.5193e-09	2.8149e-06	1.4447e-07	0.0014934	
0.00029735	7.2092e-09	2.8152e-06	1.662e-07	0.0013602	
0.00030197	5.1163e-09	2.8467e-06	1.6016e-07	0.0013398	
0.00030819	3.8746e-09	2.7615e-06	1.5728e-07	0.0014032	
0.00031021	3.2477e-09	2.709e-06	1.5888e-07	0.0013448	
0.00031198	3.6684e-09	2.644e-06	1.5695e-07	0.0012389	
0.00031447	4.5648e-09	2.6033e-06	1.579e-07	0.0012287	
0.00031666	4.8413e-09	2.551e-06	1.5534e-07	0.0011823	
